run_id,days_with_pnl,realized_total,ev_total,gap_total,mean_gap,max_gap,min_gap
USDJPY_conservative_20250922_143631,1,46.361428571427666,0.0,46.361428571427666,46.361428571427666,46.361428571427666,46.361428571427666
USDJPY_conservative_20250922_143714,1,46.361428571427666,0.0,46.361428571427666,46.361428571427666,46.361428571427666,46.361428571427666
USDJPY_conservative_20250922_143756,1,46.361428571427666,0.0,46.361428571427666,46.361428571427666,46.361428571427666,46.361428571427666
USDJPY_conservative_20250922_150418,1,45.511428571428326,0.0,45.511428571428326,45.511428571428326,45.511428571428326,45.511428571428326
USDJPY_conservative_20250922_152942,1,45.511428571428326,0.0,45.511428571428326,45.511428571428326,45.511428571428326,45.511428571428326
USDJPY_conservative_20250922_153303,1,45.511428571428326,0.0,45.511428571428326,45.511428571428326,45.511428571428326,45.511428571428326
USDJPY_conservative_20250922_170854,1,46.361428571427666,0.0,46.361428571427666,46.361428571427666,46.361428571427666,46.361428571427666
USDJPY_conservative_20250922_170914,1,45.511428571428326,0.0,45.511428571428326,45.511428571428326,45.511428571428326,45.511428571428326
USDJPY_conservative_20250922_175708,1,45.5400000000007,0.0,45.5400000000007,45.5400000000007,45.5400000000007,45.5400000000007
USDJPY_conservative_20250923_202605,86,-22.918571428560092,94.10460405223921,-117.0231754807993,-1.3607345986139452,75.91874256024907,-49.07373435432295
USDJPY_conservative_20250923_215717,86,-23.518571428560115,94.54231984225262,-118.06089127081275,-1.3728010612885202,75.51875003499885,-49.076271438573485
USDJPY_conservative_20250923_221030,144,205.96000000009053,139.3434021702376,66.61659782985294,0.46261526270731207,75.60907042201438,-64.1256850207186
